product_id,category,sub_category,product_name
"Technology_Accessories_Logitech G602 Wireless Gaming Mouse",Technology,Accessories,"Logitech G602 Wireless Gaming Mouse"
"Office Supplies_Labels_Alphabetical Labels for Top Tab Filing","Office Supplies",Labels,"Alphabetical Labels for Top Tab Filing"
"Furniture_Bookcases_O'Sullivan Living Dimensions 2-Shelf Bookcases",Furniture,Bookcases,"O'Sullivan Living Dimensions 2-Shelf Bookcases"
"Technology_Phones_iHome FM Clock Radio with Lightning Dock",Technology,Phones,"iHome FM Clock Radio with Lightning Dock"
"Technology_Phones_Apple iPhone 5S",Technology,Phones,"Apple iPhone 5S"
"Technology_Phones_Square Credit Card Reader",Technology,Phones,"Square Credit Card Reader"
"Technology_Accessories_Logitech M510 Wireless Mouse",Technology,Accessories,"Logitech M510 Wireless Mouse"
"Office Supplies_Storage_Fellowes Officeware Wire Shelving","Office Supplies",Storage,"Fellowes Officeware Wire Shelving"
"Office Supplies_Envelopes_Colored Envelopes","Office Supplies",Envelopes,"Colored Envelopes"
"Technology_Accessories_Sony Micro Vault Click 8 GB USB 2.0 Flash Drive",Technology,Accessories,"Sony Micro Vault Click 8 GB USB 2.0 Flash Drive"
"Furniture_Tables_Balt Solid Wood Rectangular Table",Furniture,Tables,"Balt Solid Wood Rectangular Table"
"Office Supplies_Envelopes_Strathmore #10 Envelopes, Ultimate White","Office Supplies",Envelopes,"Strathmore #10 Envelopes, Ultimate White"
"Office Supplies_Binders_Clear Mylar Reinforcing Strips","Office Supplies",Binders,"Clear Mylar Reinforcing Strips"
"Furniture_Furnishings_Howard Miller 14-1/2" Diameter Chrome Round Wall Clock",Furniture,Furnishings,"Howard Miller 14-1/2" Diameter Chrome Round Wall Clock"
"Furniture_Furnishings_Deflect-O Glasstique Clear Desk Accessories",Furniture,Furnishings,"Deflect-O Glasstique Clear Desk Accessories"
"Office Supplies_Binders_Vinyl Sectional Post Binders","Office Supplies",Binders,"Vinyl Sectional Post Binders"
"Office Supplies_Binders_GBC Standard Therm-A-Bind Covers","Office Supplies",Binders,"GBC Standard Therm-A-Bind Covers"
"Furniture_Chairs_Global Troy Executive Leather Low-Back Tilter",Furniture,Chairs,"Global Troy Executive Leather Low-Back Tilter"
"Office Supplies_Binders_Storex Flexible Poly Binders with Double Pockets","Office Supplies",Binders,"Storex Flexible Poly Binders with Double Pockets"
"Office Supplies_Paper_White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11","Office Supplies",Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11"
"Office Supplies_Art_Rogers Handheld Barrel Pencil Sharpener","Office Supplies",Art,"Rogers Handheld Barrel Pencil Sharpener"
"Office Supplies_Art_Newell 344","Office Supplies",Art,"Newell 344"
"Office Supplies_Storage_Personal File Boxes with Fold-Down Carry Handle","Office Supplies",Storage,"Personal File Boxes with Fold-Down Carry Handle"
"Office Supplies_Binders_Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","Office Supplies",Binders,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind"
"Furniture_Furnishings_Executive Impressions Supervisor Wall Clock",Furniture,Furnishings,"Executive Impressions Supervisor Wall Clock"
"Technology_Accessories_SanDisk Cruzer 32 GB USB Flash Drive",Technology,Accessories,"SanDisk Cruzer 32 GB USB Flash Drive"
"Office Supplies_Art_Newell 327","Office Supplies",Art,"Newell 327"
"Office Supplies_Art_Newell 317","Office Supplies",Art,"Newell 317"
"Technology_Copiers_Canon Image Class D660 Copier",Technology,Copiers,"Canon Image Class D660 Copier"
"Office Supplies_Storage_Advantus Rolling Storage Box","Office Supplies",Storage,"Advantus Rolling Storage Box"
"Office Supplies_Paper_Great White Multi-Use Recycled Paper (20Lb. and 84 Bright)","Office Supplies",Paper,"Great White Multi-Use Recycled Paper (20Lb. and 84 Bright)"
"Office Supplies_Storage_Tennsco Single-Tier Lockers","Office Supplies",Storage,"Tennsco Single-Tier Lockers"
"Office Supplies_Storage_Carina Double Wide Media Storage Towers in Natural & Black","Office Supplies",Storage,"Carina Double Wide Media Storage Towers in Natural & Black"
"Office Supplies_Binders_XtraLife ClearVue Slant-D Ring Binders by Cardinal","Office Supplies",Binders,"XtraLife ClearVue Slant-D Ring Binders by Cardinal"
"Technology_Phones_Motorola HK250 Universal Bluetooth Headset",Technology,Phones,"Motorola HK250 Universal Bluetooth Headset"
"Technology_Accessories_Imation 16GB Mini TravelDrive USB 2.0 Flash Drive",Technology,Accessories,"Imation 16GB Mini TravelDrive USB 2.0 Flash Drive"
"Furniture_Chairs_Global Commerce Series High-Back Swivel/Tilt Chairs",Furniture,Chairs,"Global Commerce Series High-Back Swivel/Tilt Chairs"
"Office Supplies_Storage_Eldon Gobal File Keepers","Office Supplies",Storage,"Eldon Gobal File Keepers"
"Office Supplies_Supplies_Martin Yale Chadless Opener Electric Letter Opener","Office Supplies",Supplies,"Martin Yale Chadless Opener Electric Letter Opener"
"Office Supplies_Envelopes_White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes","Office Supplies",Envelopes,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes"
"Furniture_Chairs_Safco Contoured Stacking Chairs",Furniture,Chairs,"Safco Contoured Stacking Chairs"
"Furniture_Furnishings_Tenex Chairmats For Use With Carpeted Floors",Furniture,Furnishings,"Tenex Chairmats For Use With Carpeted Floors"
"Technology_Phones_Panasonic KX-TG9471B",Technology,Phones,"Panasonic KX-TG9471B"
"Office Supplies_Storage_Sterilite Officeware Hinged File Box","Office Supplies",Storage,"Sterilite Officeware Hinged File Box"
"Office Supplies_Binders_Premier Elliptical Ring Binder, Black","Office Supplies",Binders,"Premier Elliptical Ring Binder, Black"
"Office Supplies_Binders_Cardinal Poly Pocket Divider Pockets for Ring Binders","Office Supplies",Binders,"Cardinal Poly Pocket Divider Pockets for Ring Binders"
"Office Supplies_Appliances_Eureka The Boss Cordless Rechargeable Stick Vac","Office Supplies",Appliances,"Eureka The Boss Cordless Rechargeable Stick Vac"
"Furniture_Chairs_Situations Contoured Folding Chairs, 4/Set",Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set"
"Technology_Accessories_Enermax Aurora Lite Keyboard",Technology,Accessories,"Enermax Aurora Lite Keyboard"
"Technology_Phones_LG Electronics Tone+ HBS-730 Bluetooth Headset",Technology,Phones,"LG Electronics Tone+ HBS-730 Bluetooth Headset"
"Technology_Accessories_SanDisk Cruzer 64 GB USB Flash Drive",Technology,Accessories,"SanDisk Cruzer 64 GB USB Flash Drive"
"Technology_Phones_Xblue XB-1670-86 X16 Small Office Telephone - Titanium",Technology,Phones,"Xblue XB-1670-86 X16 Small Office Telephone - Titanium"
"Furniture_Furnishings_Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Furniture,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting"
"Office Supplies_Binders_Avery Printable Repositionable Plastic Tabs","Office Supplies",Binders,"Avery Printable Repositionable Plastic Tabs"
"Office Supplies_Paper_Xerox 1898","Office Supplies",Paper,"Xerox 1898"
"Furniture_Chairs_HON 5400 Series Task Chairs for Big and Tall",Furniture,Chairs,"HON 5400 Series Task Chairs for Big and Tall"
"Furniture_Furnishings_Howard Miller 11-1/2" Diameter Grantwood Wall Clock",Furniture,Furnishings,"Howard Miller 11-1/2" Diameter Grantwood Wall Clock"
"Office Supplies_Fasteners_Advantus T-Pin Paper Clips","Office Supplies",Fasteners,"Advantus T-Pin Paper Clips"
"Office Supplies_Storage_Tennsco 16-Compartment Lockers with Coat Rack","Office Supplies",Storage,"Tennsco 16-Compartment Lockers with Coat Rack"
"Office Supplies_Art_Zebra Zazzle Fluorescent Highlighters","Office Supplies",Art,"Zebra Zazzle Fluorescent Highlighters"
"Office Supplies_Labels_Avery 473","Office Supplies",Labels,"Avery 473"
"Furniture_Tables_Bretford Just In Time Height-Adjustable Multi-Task Work Tables",Furniture,Tables,"Bretford Just In Time Height-Adjustable Multi-Task Work Tables"
"Office Supplies_Paper_Xerox 226","Office Supplies",Paper,"Xerox 226"
"Office Supplies_Binders_GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb","Office Supplies",Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb"
"Office Supplies_Appliances_Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts","Office Supplies",Appliances,"Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts"
"Furniture_Furnishings_Advantus Panel Wall Acrylic Frame",Furniture,Furnishings,"Advantus Panel Wall Acrylic Frame"
"Office Supplies_Fasteners_Alliance Big Bands Rubber Bands, 12/Pack","Office Supplies",Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack"
"Technology_Phones_Cisco SPA301",Technology,Phones,"Cisco SPA301"
"Office Supplies_Paper_Personal Creations Ink Jet Cards and Labels","Office Supplies",Paper,"Personal Creations Ink Jet Cards and Labels"
"Office Supplies_Binders_GBC White Gloss Covers, Plain Front","Office Supplies",Binders,"GBC White Gloss Covers, Plain Front"
"Office Supplies_Paper_Xerox 222","Office Supplies",Paper,"Xerox 222"
"Furniture_Chairs_Hon Every-Day Series Multi-Task Chairs",Furniture,Chairs,"Hon Every-Day Series Multi-Task Chairs"
"Technology_Phones_Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple",Technology,Phones,"Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple"
"Office Supplies_Art_Newell 332","Office Supplies",Art,"Newell 332"
"Office Supplies_Paper_Rediform S.O.S. Phone Message Books","Office Supplies",Paper,"Rediform S.O.S. Phone Message Books"
"Office Supplies_Supplies_Acme Value Line Scissors","Office Supplies",Supplies,"Acme Value Line Scissors"
"Furniture_Furnishings_Contract Clock, 14", Brown",Furniture,Furnishings,"Contract Clock, 14", Brown"
"Office Supplies_Supplies_Martin-Yale Premier Letter Opener","Office Supplies",Supplies,"Martin-Yale Premier Letter Opener"
"Technology_Phones_AT&T SB67148 SynJ",Technology,Phones,"AT&T SB67148 SynJ"
"Office Supplies_Binders_Recycled Pressboard Report Cover with Reinforced Top Hinge","Office Supplies",Binders,"Recycled Pressboard Report Cover with Reinforced Top Hinge"
"Office Supplies_Labels_Dot Matrix Printer Tape Reel Labels, White, 5000/Box","Office Supplies",Labels,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box"
"Technology_Phones_i.Sound Portable Power - 8000 mAh",Technology,Phones,"i.Sound Portable Power - 8000 mAh"
"Office Supplies_Paper_Xerox 225","Office Supplies",Paper,"Xerox 225"
"Office Supplies_Paper_Xerox 1894","Office Supplies",Paper,"Xerox 1894"
"Office Supplies_Art_Newell 312","Office Supplies",Art,"Newell 312"
"Office Supplies_Appliances_Fellowes Superior 10 Outlet Split Surge Protector","Office Supplies",Appliances,"Fellowes Superior 10 Outlet Split Surge Protector"
"Furniture_Furnishings_Dana Halogen Swing-Arm Architect Lamp",Furniture,Furnishings,"Dana Halogen Swing-Arm Architect Lamp"
"Office Supplies_Supplies_Acme Stainless Steel Office Snips","Office Supplies",Supplies,"Acme Stainless Steel Office Snips"
"Technology_Phones_Mophie Juice Pack Helium for iPhone",Technology,Phones,"Mophie Juice Pack Helium for iPhone"
"Technology_Phones_GE 2-Jack Phone Line Splitter",Technology,Phones,"GE 2-Jack Phone Line Splitter"
"Office Supplies_Storage_Hot File 7-Pocket, Floor Stand","Office Supplies",Storage,"Hot File 7-Pocket, Floor Stand"
"Office Supplies_Paper_Xerox 1889","Office Supplies",Paper,"Xerox 1889"
"Office Supplies_Binders_Angle-D Ring Binders","Office Supplies",Binders,"Angle-D Ring Binders"
"Technology_Phones_Motorola L804",Technology,Phones,"Motorola L804"
"Office Supplies_Labels_Avery 493","Office Supplies",Labels,"Avery 493"
"Office Supplies_Paper_Xerox 1972","Office Supplies",Paper,"Xerox 1972"
"Technology_Phones_Cisco 8x8 Inc. 6753i IP Business Phone System",Technology,Phones,"Cisco 8x8 Inc. 6753i IP Business Phone System"
"Office Supplies_Binders_Prestige Round Ring Binders","Office Supplies",Binders,"Prestige Round Ring Binders"
"Furniture_Furnishings_DAX Metal Frame, Desktop, Stepped-Edge",Furniture,Furnishings,"DAX Metal Frame, Desktop, Stepped-Edge"
"Furniture_Furnishings_DAX Value U-Channel Document Frames, Easel Back",Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back"
"Office Supplies_Binders_Recycled Easel Ring Binders","Office Supplies",Binders,"Recycled Easel Ring Binders"
"Technology_Phones_Grandstream GXP1160 VoIP phone",Technology,Phones,"Grandstream GXP1160 VoIP phone"
"Office Supplies_Binders_Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl","Office Supplies",Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl"
"Furniture_Chairs_Global Manager's Adjustable Task Chair, Storm",Furniture,Chairs,"Global Manager's Adjustable Task Chair, Storm"
"Office Supplies_Appliances_Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room","Office Supplies",Appliances,"Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room"
"Office Supplies_Storage_Mini 13-1/2 Capacity Data Binder Rack, Pearl","Office Supplies",Storage,"Mini 13-1/2 Capacity Data Binder Rack, Pearl"
"Furniture_Furnishings_Master Caster Door Stop, Brown",Furniture,Furnishings,"Master Caster Door Stop, Brown"
"Office Supplies_Appliances_Belkin Premiere Surge Master II 8-outlet surge protector","Office Supplies",Appliances,"Belkin Premiere Surge Master II 8-outlet surge protector"
"Office Supplies_Binders_Acco Pressboard Covers with Storage Hooks, 9 1/2" x 11", Executive Red","Office Supplies",Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2" x 11", Executive Red"
"Office Supplies_Storage_Tennsco Regal Shelving Units","Office Supplies",Storage,"Tennsco Regal Shelving Units"
"Technology_Accessories_Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...",Technology,Accessories,"Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ..."
"Technology_Phones_Jabra SPEAK 410",Technology,Phones,"Jabra SPEAK 410"
"Technology_Accessories_Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack"
"Furniture_Chairs_Office Star - Mesh Screen back chair with Vinyl seat",Furniture,Chairs,"Office Star - Mesh Screen back chair with Vinyl seat"
"Office Supplies_Binders_Premium Transparent Presentation Covers by GBC","Office Supplies",Binders,"Premium Transparent Presentation Covers by GBC"
"Office Supplies_Appliances_Tripp Lite TLP810NET Broadband Surge for Modem/Fax","Office Supplies",Appliances,"Tripp Lite TLP810NET Broadband Surge for Modem/Fax"
"Office Supplies_Binders_Wilson Jones Turn Tabs Binder Tool for Ring Binders","Office Supplies",Binders,"Wilson Jones Turn Tabs Binder Tool for Ring Binders"
"Furniture_Furnishings_Eldon 200 Class Desk Accessories",Furniture,Furnishings,"Eldon 200 Class Desk Accessories"
"Office Supplies_Storage_Economy Rollaway Files","Office Supplies",Storage,"Economy Rollaway Files"
"Office Supplies_Labels_Avery 480","Office Supplies",Labels,"Avery 480"
"Office Supplies_Paper_Xerox 1993","Office Supplies",Paper,"Xerox 1993"
"Office Supplies_Appliances_Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red","Office Supplies",Appliances,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red"
"Office Supplies_Appliances_Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector","Office Supplies",Appliances,"Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector"
"Technology_Accessories_First Data FD10 PIN Pad",Technology,Accessories,"First Data FD10 PIN Pad"
"Technology_Accessories_Sony 16GB Class 10 Micro SDHC R40 Memory Card",Technology,Accessories,"Sony 16GB Class 10 Micro SDHC R40 Memory Card"
"Office Supplies_Appliances_Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge","Office Supplies",Appliances,"Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge"
"Office Supplies_Binders_Avery Durable Poly Binders","Office Supplies",Binders,"Avery Durable Poly Binders"
"Office Supplies_Envelopes_Airmail Envelopes","Office Supplies",Envelopes,"Airmail Envelopes"
"Office Supplies_Storage_Space Solutions Commercial Steel Shelving","Office Supplies",Storage,"Space Solutions Commercial Steel Shelving"
"Office Supplies_Supplies_Acme Tagit Stainless Steel Antibacterial Scissors","Office Supplies",Supplies,"Acme Tagit Stainless Steel Antibacterial Scissors"
"Technology_Phones_ClearOne Communications CHAT 70 OC Speaker Phone",Technology,Phones,"ClearOne Communications CHAT 70 OC Speaker Phone"
"Furniture_Furnishings_Master Giant Foot Doorstop, Safety Yellow",Furniture,Furnishings,"Master Giant Foot Doorstop, Safety Yellow"
"Furniture_Furnishings_12-1/2 Diameter Round Wall Clock",Furniture,Furnishings,"12-1/2 Diameter Round Wall Clock"
"Furniture_Tables_Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",Furniture,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base"
"Office Supplies_Paper_Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4"X8 1/2", 200/Messages","Office Supplies",Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4"X8 1/2", 200/Messages"
"Office Supplies_Art_Newell 331","Office Supplies",Art,"Newell 331"
"Office Supplies_Appliances_Kensington 6 Outlet Guardian Standard Surge Protector","Office Supplies",Appliances,"Kensington 6 Outlet Guardian Standard Surge Protector"
"Office Supplies_Paper_Southworth 100% Résumé Paper, 24lb.","Office Supplies",Paper,"Southworth 100% Résumé Paper, 24lb."
"Office Supplies_Appliances_Hoover Portapower Portable Vacuum","Office Supplies",Appliances,"Hoover Portapower Portable Vacuum"
"Technology_Accessories_Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack"
"Furniture_Furnishings_Howard Miller 13-1/2" Diameter Rosebrook Wall Clock",Furniture,Furnishings,"Howard Miller 13-1/2" Diameter Rosebrook Wall Clock"
"Office Supplies_Binders_Ibico Hi-Tech Manual Binding System","Office Supplies",Binders,"Ibico Hi-Tech Manual Binding System"
"Office Supplies_Binders_Avery Hanging File Binders","Office Supplies",Binders,"Avery Hanging File Binders"
"Office Supplies_Storage_Fellowes Neat Ideas Storage Cubes","Office Supplies",Storage,"Fellowes Neat Ideas Storage Cubes"
"Technology_Machines_Cubify CubeX 3D Printer Triple Head Print",Technology,Machines,"Cubify CubeX 3D Printer Triple Head Print"
"Office Supplies_Labels_Avery 516","Office Supplies",Labels,"Avery 516"
"Furniture_Bookcases_Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish"
"Furniture_Furnishings_Luxo Professional Magnifying Clamp-On Fluorescent Lamps",Furniture,Furnishings,"Luxo Professional Magnifying Clamp-On Fluorescent Lamps"
"Office Supplies_Storage_Recycled Eldon Regeneration Jumbo File","Office Supplies",Storage,"Recycled Eldon Regeneration Jumbo File"
"Technology_Accessories_Imation Bio 8GB USB Flash Drive Imation Corp",Technology,Accessories,"Imation Bio 8GB USB Flash Drive Imation Corp"
"Office Supplies_Paper_Xerox 1977","Office Supplies",Paper,"Xerox 1977"
"Office Supplies_Labels_Avery 490","Office Supplies",Labels,"Avery 490"
"Office Supplies_Labels_Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White","Office Supplies",Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White"
"Office Supplies_Art_Binney & Smith Crayola Metallic Crayons, 16-Color Pack","Office Supplies",Art,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack"
"Office Supplies_Binders_GBC Linen Binding Covers","Office Supplies",Binders,"GBC Linen Binding Covers"
"Furniture_Furnishings_Tenex "The Solids" Textured Chair Mats",Furniture,Furnishings,"Tenex "The Solids" Textured Chair Mats"
"Furniture_Tables_Laminate Occasional Tables",Furniture,Tables,"Laminate Occasional Tables"
"Office Supplies_Paper_Xerox 220","Office Supplies",Paper,"Xerox 220"
"Office Supplies_Appliances_Fellowes 8 Outlet Superior Workstation Surge Protector","Office Supplies",Appliances,"Fellowes 8 Outlet Superior Workstation Surge Protector"
"Furniture_Bookcases_O'Sullivan Living Dimensions 5-Shelf Bookcases",Furniture,Bookcases,"O'Sullivan Living Dimensions 5-Shelf Bookcases"
"Office Supplies_Envelopes_#10- 4 1/8" x 9 1/2" Security-Tint Envelopes","Office Supplies",Envelopes,"#10- 4 1/8" x 9 1/2" Security-Tint Envelopes"
"Office Supplies_Appliances_Bionaire Personal Warm Mist Humidifier/Vaporizer","Office Supplies",Appliances,"Bionaire Personal Warm Mist Humidifier/Vaporizer"
"Technology_Accessories_Logitech Wireless Performance Mouse MX for PC and Mac",Technology,Accessories,"Logitech Wireless Performance Mouse MX for PC and Mac"
"Office Supplies_Binders_Cardinal Holdit Business Card Pockets","Office Supplies",Binders,"Cardinal Holdit Business Card Pockets"
"Furniture_Furnishings_Howard Miller 13" Diameter Pewter Finish Round Wall Clock",Furniture,Furnishings,"Howard Miller 13" Diameter Pewter Finish Round Wall Clock"
"Office Supplies_Paper_Tops Green Bar Computer Printout Paper","Office Supplies",Paper,"Tops Green Bar Computer Printout Paper"
"Furniture_Tables_Chromcraft Bull-Nose Wood Oval Conference Tables & Bases",Furniture,Tables,"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases"
"Office Supplies_Storage_Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16","Office Supplies",Storage,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16"
"Furniture_Furnishings_Seth Thomas 16" Steel Case Clock",Furniture,Furnishings,"Seth Thomas 16" Steel Case Clock"
"Office Supplies_Supplies_Acme Softgrip Scissors","Office Supplies",Supplies,"Acme Softgrip Scissors"
"Office Supplies_Envelopes_Manila Recycled Extra-Heavyweight Clasp Envelopes, 6" x 9"","Office Supplies",Envelopes,"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6" x 9""
"Technology_Phones_ClearSounds CSC500 Amplified Spirit Phone Corded phone",Technology,Phones,"ClearSounds CSC500 Amplified Spirit Phone Corded phone"
"Office Supplies_Paper_Xerox 1964","Office Supplies",Paper,"Xerox 1964"
"Furniture_Tables_Bevis Traditional Conference Table Top, Plinth Base",Furniture,Tables,"Bevis Traditional Conference Table Top, Plinth Base"
"Office Supplies_Storage_Personal Folder Holder, Ebony","Office Supplies",Storage,"Personal Folder Holder, Ebony"
"Technology_Accessories_Logitech Illuminated - Keyboard",Technology,Accessories,"Logitech Illuminated - Keyboard"
"Furniture_Bookcases_O'Sullivan Cherrywood Estates Traditional Bookcase",Furniture,Bookcases,"O'Sullivan Cherrywood Estates Traditional Bookcase"
"Office Supplies_Binders_Acco Translucent Poly Ring Binders","Office Supplies",Binders,"Acco Translucent Poly Ring Binders"
"Technology_Accessories_Logitech Wireless Touch Keyboard K400",Technology,Accessories,"Logitech Wireless Touch Keyboard K400"
"Office Supplies_Labels_Avery 508","Office Supplies",Labels,"Avery 508"
"Office Supplies_Binders_GBC Standard Plastic Binding Systems Combs","Office Supplies",Binders,"GBC Standard Plastic Binding Systems Combs"
"Office Supplies_Paper_Xerox 196","Office Supplies",Paper,"Xerox 196"
"Office Supplies_Supplies_Fiskars 8" Scissors, 2/Pack","Office Supplies",Supplies,"Fiskars 8" Scissors, 2/Pack"
"Technology_Phones_Belkin iPhone and iPad Lightning Cable",Technology,Phones,"Belkin iPhone and iPad Lightning Cable"
"Office Supplies_Binders_GBC Durable Plastic Covers","Office Supplies",Binders,"GBC Durable Plastic Covers"
"Furniture_Furnishings_Nu-Dell Leatherette Frames",Furniture,Furnishings,"Nu-Dell Leatherette Frames"
"Office Supplies_Binders_Avery Durable Binders","Office Supplies",Binders,"Avery Durable Binders"
"Technology_Copiers_Hewlett Packard 610 Color Digital Copier / Printer",Technology,Copiers,"Hewlett Packard 610 Color Digital Copier / Printer"
"Furniture_Tables_Chromcraft Round Conference Tables",Furniture,Tables,"Chromcraft Round Conference Tables"
"Office Supplies_Labels_Avery 476","Office Supplies",Labels,"Avery 476"
"Office Supplies_Envelopes_Brown Kraft Recycled Envelopes","Office Supplies",Envelopes,"Brown Kraft Recycled Envelopes"
"Technology_Accessories_Plantronics S12 Corded Telephone Headset System",Technology,Accessories,"Plantronics S12 Corded Telephone Headset System"
"Office Supplies_Binders_3-ring staple pack","Office Supplies",Binders,"3-ring staple pack"
"Office Supplies_Storage_Fellowes Stor/Drawer Steel Plus Storage Drawers","Office Supplies",Storage,"Fellowes Stor/Drawer Steel Plus Storage Drawers"
"Furniture_Furnishings_Electrix Halogen Magnifier Lamp",Furniture,Furnishings,"Electrix Halogen Magnifier Lamp"
"Furniture_Chairs_Hon 4070 Series Pagoda Round Back Stacking Chairs",Furniture,Chairs,"Hon 4070 Series Pagoda Round Back Stacking Chairs"
"Office Supplies_Binders_Cardinal EasyOpen D-Ring Binders","Office Supplies",Binders,"Cardinal EasyOpen D-Ring Binders"
"Office Supplies_Binders_GBC Instant Report Kit","Office Supplies",Binders,"GBC Instant Report Kit"
"Office Supplies_Art_Boston 19500 Mighty Mite Electric Pencil Sharpener","Office Supplies",Art,"Boston 19500 Mighty Mite Electric Pencil Sharpener"
"Furniture_Furnishings_C-Line Magnetic Cubicle Keepers, Clear Polypropylene",Furniture,Furnishings,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene"
"Office Supplies_Art_Dixon My First Ticonderoga Pencil, #2","Office Supplies",Art,"Dixon My First Ticonderoga Pencil, #2"
"Furniture_Chairs_Hon GuestStacker Chair",Furniture,Chairs,"Hon GuestStacker Chair"
"Office Supplies_Paper_Xerox 1927","Office Supplies",Paper,"Xerox 1927"
"Furniture_Bookcases_Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray"
"Technology_Accessories_Microsoft Natural Ergonomic Keyboard 4000",Technology,Accessories,"Microsoft Natural Ergonomic Keyboard 4000"
"Office Supplies_Envelopes_Cameo Buff Policy Envelopes","Office Supplies",Envelopes,"Cameo Buff Policy Envelopes"
"Office Supplies_Binders_Heavy-Duty E-Z-D Binders","Office Supplies",Binders,"Heavy-Duty E-Z-D Binders"
"Furniture_Chairs_Lifetime Advantage Folding Chairs, 4/Carton",Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton"
"Office Supplies_Binders_Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2" X 11"","Office Supplies",Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2" X 11""
"Furniture_Chairs_Office Star - Contemporary Task Swivel Chair",Furniture,Chairs,"Office Star - Contemporary Task Swivel Chair"
"Technology_Phones_Cisco Unified IP Phone 7945G VoIP phone",Technology,Phones,"Cisco Unified IP Phone 7945G VoIP phone"
"Office Supplies_Labels_Avery 499","Office Supplies",Labels,"Avery 499"
"Office Supplies_Paper_Xerox 1887","Office Supplies",Paper,"Xerox 1887"
"Office Supplies_Labels_Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set","Office Supplies",Labels,"Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set"
